
 ### Operon: -1

	 WP_015230632.1	[110, 0, 0, 109, 112, 108, 0, 107, 0]
	 WP_166274714.1	[0, 0, 99, 109, 112, 108, 0, 0, 0]
	 WP_071455489.1	[0, 68, 67, 109, 112, 108, 0, 0, 0]
	 PSP17127.1	[0, 0, 99, 109, 112, 93, 92, 0, 51]
	 KOR37720.1	[0, 0, 99, 109, 112, 108, 0, 0, 0]
	 WP_106287117.1	[0, 0, 99, 109, 112, 108, 38, 0, 0]
	 BAG05582.1	[0, 36, 110, 109, 112, 67, 0, 0, 35]
	 WP_146296165.1	[40, 0, 0, 109, 112, 108, 0, 0, 68]
	 WP_084053921.1	[0, 61, 99, 109, 112, 55, 64, 63, 32]
	 PWM50527.1	[0, 61, 99, 109, 112, 55, 64, 63, 32]
	 TSA16903.1	[11, 10, 99, 0, 112, 64, 63, 60, 9]
	 CDE95132.1	[0, 40, 0, 109, 112, 0, 23, 0, 0]
	 WP_004825665.1	[99, 61, 99, 109, 112, 64, 63, 60, 0]
	 WP_020370739.1	[0, 0, 0, 0, 112, 0, 0, 38, 0]
	 OGF52896.1	[0, 0, 99, 109, 112, 10000, 32, 60, 65]
	 PZM91784.1	[0, 38, 0, 109, 112, 64, 63, 60, 0]
	 OQX29578.1	[0, 38, 99, 109, 112, 64, 63, 60, 10000]

 ### Operon: 0

	 CDM93748.1	[0, 0, 99, 109, 112, 0, 108, 70, 0]
	 WP_067774034.1	[0, 0, 99, 109, 112, 95, 108, 70, 84]
	 WP_015200940.1	[0, 49, 99, 109, 112, 108, 0, 0, 84]
	 KST67722.1	[0, 49, 99, 109, 112, 108, 70, 0, 0]
	 WP_071102121.1	[0, 99, 0, 109, 112, 108, 47, 84, 0]
	 WP_069967886.1	[0, 0, 99, 109, 112, 108, 70, 84, 0]
	 WP_168571633.1	[0, 45, 99, 109, 112, 108, 70, 84, 0]
	 AFY81343.1	[0, 0, 99, 109, 112, 108, 84, 40, 0]
	 OKH36044.1	[0, 0, 99, 109, 112, 95, 108, 70, 84]
	 ERT09159.1	[0, 99, 0, 109, 112, 108, 70, 84, 0]

 ### Operon: 1

	 WP_024544479.1	[106, 105, 104, 109, 112, 103, 102, 0, 0]
	 WP_036482472.1	[101, 100, 99, 109, 112, 98, 97, 96, 0]
	 WP_069790862.1	[0, 0, 94, 109, 112, 0, 0, 0, 0]
	 PSP15035.1	[0, 0, 99, 109, 112, 0, 93, 92, 0]
	 WP_015166536.1	[0, 0, 99, 109, 112, 91, 0, 90, 0]
	 WP_030007129.1	[106, 105, 104, 109, 112, 103, 0, 102, 0]
	 WP_075889505.1	[0, 104, 0, 109, 112, 103, 102, 84, 0]
	 PZV10928.1	[0, 0, 0, 109, 112, 91, 0, 0, 0]
	 AIE75570.1	[0, 0, 77, 109, 112, 0, 0, 0, 0]
	 TVQ43653.1	[0, 0, 0, 109, 112, 0, 89, 0, 0]
	 WP_011431089.1	[0, 0, 0, 0, 112, 0, 66, 0, 0]
	 WP_148133815.1	[62, 61, 99, 109, 112, 10000, 0, 0, 62]
	 WP_166626503.1	[99, 61, 99, 109, 112, 64, 63, 60, 0]
	 WP_088243775.1	[0, 10000, 99, 109, 112, 0, 77, 0, 0]
	 WP_015144817.1	[0, 110, 0, 109, 112, 0, 0, 0, 0]
	 WP_015192774.1	[0, 0, 99, 109, 112, 98, 97, 86, 0]
	 WP_013322190.1	[0, 0, 0, 109, 112, 0, 0, 10000, 0]
	 WP_006511796.1	[0, 0, 0, 109, 112, 39, 0, 0, 68]
	 PZV25621.1	[0, 0, 77, 109, 112, 0, 0, 0, 0]
	 WP_012954188.1	[0, 0, 37, 109, 112, 41, 0, 0, 0]
	 WP_006528479.1	[0, 0, 99, 109, 112, 34, 0, 0, 52]
	 WP_104397532.1	[0, 36, 110, 109, 112, 67, 35, 0, 0]
	 WP_019504521.1	[101, 100, 99, 109, 112, 98, 97, 0, 96]
	 WP_124972497.1	[0, 0, 0, 109, 112, 0, 0, 0, 0]
	 WP_017295263.1	[0, 0, 94, 109, 112, 0, 0, 0, 0]
	 WP_107671288.1	[0, 0, 37, 109, 112, 41, 0, 0, 0]
	 WP_144868371.1	[0, 0, 0, 109, 112, 0, 0, 0, 0]
	 WP_015218062.1	[0, 0, 66, 109, 112, 0, 33, 33, 0]
	 WP_046510790.1	[99, 61, 99, 109, 112, 64, 63, 60, 0]
	 PKO07036.1	[0, 31, 99, 109, 112, 64, 30, 29, 28]
	 TAK21487.1	[0, 0, 0, 0, 112, 48, 0, 0, 0]
	 OQY14477.1	[0, 0, 0, 26, 112, 0, 99, 109, 0]
	 WP_025228702.1	[0, 0, 99, 109, 112, 64, 90, 0, 0]
	 WP_168722522.1	[0, 0, 0, 0, 112, 64, 63, 0, 0]
	 WP_027366251.1	[39, 0, 0, 0, 112, 0, 0, 0, 0]
	 AMB98951.1	[61, 99, 0, 109, 112, 0, 64, 63, 60]
	 WP_095041880.1	[0, 0, 99, 10000, 112, 64, 30, 29, 28]
	 PYI93902.1	[0, 99, 109, 0, 112, 63, 0, 0, 0]
	 TDI95161.1	[0, 0, 0, 109, 112, 64, 63, 60, 0]
	 WP_009372714.1	[99, 61, 99, 109, 112, 64, 63, 60, 0]
	 RLT24846.1	[0, 0, 99, 109, 112, 64, 10000, 0, 0]
	 WP_138268653.1	[0, 61, 99, 109, 112, 0, 0, 46, 0]
	 KAA0243134.1	[0, 0, 0, 0, 112, 0, 7, 7, 0]
	 WP_084057338.1	[39, 0, 6, 5, 112, 4, 0, 0, 0]
	 RIK01244.1	[0, 0, 99, 109, 112, 64, 67, 3, 0]
	 RJR47606.1	[0, 0, 4, 0, 112, 0, 0, 0, 0]
	 CBL06223.1	[0, 0, 61, 0, 112, 0, 0, 64, 63]
	 WP_070710341.1	[99, 61, 99, 109, 112, 64, 63, 60, 0]
	 KAF0152635.1	[11, 10, 99, 109, 112, 64, 63, 60, 9]
	 WP_093393933.1	[0, 0, 6, 5, 112, 4, 0, 0, 0]
	 WP_075276636.1	[0, 0, 0, 109, 112, 64, 63, 0, 0]
	 WP_021939060.1	[0, 61, 99, 109, 112, 64, 63, 0, 44]
	 TMC83628.1	[0, 61, 99, 109, 112, 64, 63, 60, 0]
	 OGO26176.1	[0, 31, 99, 109, 112, 64, 30, 28, 0]
	 PZR60529.1	[68, 22, 99, 109, 112, 64, 68, 0, 0]
	 WP_119015225.1	[51, 0, 0, 109, 112, 0, 0, 0, 64]
	 TSA29763.1	[0, 0, 99, 109, 112, 0, 0, 0, 0]
	 WP_023387859.1	[99, 61, 99, 109, 112, 64, 63, 60, 14]
	 PSH03671.1	[0, 0, 0, 109, 112, 64, 63, 60, 0]
	 WP_027889696.1	[0, 61, 99, 109, 112, 0, 0, 0, 0]
	 KPJ79156.1	[0, 0, 0, 0, 112, 0, 0, 1, 0]
	 WP_135346905.1	[99, 61, 99, 109, 112, 64, 63, 60, 14]
	 OQB15766.1	[0, 61, 99, 109, 112, 64, 63, 3, 2]
	 WP_155303092.1	[39, 0, 0, 0, 112, 0, 0, 0, 0]
	 OQY91747.1	[0, 0, 99, 109, 112, 64, 30, 0, 29]
	 PWL41573.1	[99, 61, 99, 109, 112, 64, 63, 60, 14]
	 WP_124791567.1	[0, 34, 99, 109, 112, 64, 0, 0, 0]
	 PWM34106.1	[0, 61, 99, 109, 112, 0, 0, 0, 0]
	 WP_133451944.1	[0, 0, 0, 109, 112, 64, 63, 60, 0]
	 GAK55151.1	[0, 0, 0, 1, 112, 0, 0, 0, 0]
	 CDE39195.1	[12, 0, 0, 109, 112, 0, 0, 0, 0]
	 PKN53458.1	[0, 0, 0, 0, 112, 26, 0, 0, 0]

 ### Operon: 2

	 AFY67793.1	[0, 0, 95, 109, 112, 0, 0, 0, 0]
	 AXY68227.1	[0, 89, 88, 109, 112, 95, 108, 0, 0]
	 WP_015126244.1	[0, 0, 0, 109, 112, 95, 108, 0, 83]
	 WP_019500117.1	[78, 78, 99, 109, 112, 95, 91, 87, 0]
	 WP_023172072.1	[0, 0, 99, 109, 112, 95, 0, 0, 0]
	 QFZ91840.1	[0, 0, 99, 109, 112, 95, 108, 0, 10000]
