Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species


Type	WP_024544479.1	GCF_000485815.1	+	115891	116895	-3401	-2397	106	WP_024544483.1	Ycf66 family protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Synechococcus	Synechococcus sp. NKBG15041c
Type	WP_024544479.1	GCF_000485815.1	+	114609	115820	-2326	-1115	105	WP_024544482.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Synechococcus	Synechococcus sp. NKBG15041c
Type	WP_024544479.1	GCF_000485815.1	-	113914	114534	-1040	-420	104	WP_024544481.1	chorismate lyase	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Synechococcus	Synechococcus sp. NKBG15041c
Type	WP_024544479.1	GCF_000485815.1	+	113486	113734	-240	8	109	WP_024544480.1	30S ribosomal protein S16	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Synechococcus	Synechococcus sp. NKBG15041c
Type	WP_024544479.1	GCF_000485815.1	+	113062	113493	1	432	112	WP_024544479.1	KH domain-containing protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Synechococcus	Synechococcus sp. NKBG15041c
Type	WP_024544479.1	GCF_000485815.1	-	112019	112960	534	1475	103	WP_024544478.1	GTPase Era	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Synechococcus	Synechococcus sp. NKBG15041c
Type	WP_024544479.1	GCF_000485815.1	+	110447	111733	1761	3047	102	WP_024544477.1	insulinase family protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Synechococcus	Synechococcus sp. NKBG15041c
Type	WP_024544479.1	GCF_000485815.1	-	109231	110208	3286	4263	0	WP_024544476.1	cysteine synthase A	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Synechococcus	Synechococcus sp. NKBG15041c
Type	WP_024544479.1	GCF_000485815.1	+	108135	108968	4526	5359	0	WP_024544475.1	BtpA/SgcQ family protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Synechococcus	Synechococcus sp. NKBG15041c

Type	WP_036482472.1	GCF_000756305.1	+	244811	245203	-3201	-2809	101	WP_036482463.1	FHA domain-containing protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Pleurocapsales	Myxosarcina	Myxosarcina sp. GI1
Type	WP_036482472.1	GCF_000756305.1	-	245196	246020	-2816	-1992	100	WP_253274260.1	TlyA family rRNA (cytidine-2'-O)-methyltransferase	Bacteria	Cyanobacteria	Cyanobacteria_na	Pleurocapsales	Myxosarcina	Myxosarcina sp. GI1
Type	WP_036482472.1	GCF_000756305.1	+	246223	247677	-1789	-335	99	WP_036482466.1	signal recognition particle protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Pleurocapsales	Myxosarcina	Myxosarcina sp. GI1
