Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Transmembrane/Signal peptide prediction	Superkingdom	Phylum	Class	Order	Genus	Species


00001	A0A132PIT0_9MYCO	GCA_001545135.1	+	41097	42245	-4766	-3618	0	KWX22257.1	molecular chaperone DnaJ		Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycolicibacterium	Mycolicibacterium wolinskyi
00001	A0A132PIT0_9MYCO	GCA_001545135.1	+	42250	42999	-3613	-2864	9	KWX22258.1	ribosomal RNA small subunit methyltransferase E		Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycolicibacterium	Mycolicibacterium wolinskyi
00001	A0A132PIT0_9MYCO	GCA_001545135.1	+	43329	43838	-2534	-2025	0	KWX22358.1	hypothetical protein		Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycolicibacterium	Mycolicibacterium wolinskyi
00001	A0A132PIT0_9MYCO	GCA_001545135.1	+	43916	45307	-1947	-556	0	KWX22259.1	C4-dicarboxylate transporter	TM	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycolicibacterium	Mycolicibacterium wolinskyi
00001	A0A132PIT0_9MYCO	GCA_001545135.1	+	45864	46910	1	1047	23	KWX22260.1	phosphate starvation protein PhoH		Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycolicibacterium	Mycolicibacterium wolinskyi
00001	A0A132PIT0_9MYCO	GCA_001545135.1	+	46907	47443	1044	1580	22	KWX22261.1	heat-shock protein		Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycolicibacterium	Mycolicibacterium wolinskyi
00001	A0A132PIT0_9MYCO	GCA_001545135.1	+	47440	48756	1577	2893	19	KWX22262.1	membrane protein	TM	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycolicibacterium	Mycolicibacterium wolinskyi
00001	A0A132PIT0_9MYCO	GCA_001545135.1	+	48749	49066	2886	3203	7	KWX22263.1	cytidine deaminase		Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycolicibacterium	Mycolicibacterium wolinskyi
00001	A0A132PIT0_9MYCO	GCA_001545135.1	+	49063	49962	3200	4099	6	KWX22264.1	GTPase Era		Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycolicibacterium	Mycolicibacterium wolinskyi

00002	D7AYG7_NOCDD	GCA_000092985.1	+	865973	866710	-3122	-2385	9	ADH66148.1	protein of unknown function DUF558		Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsis	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111
00002	D7AYG7_NOCDD	GCA_000092985.1	-	866849	867610	-2246	-1485	0	ADH66149.1	conserved hypothetical protein		Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsis	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111
