Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species


00013	WP_036816310.1	GCF_009856295.1	+	341208	342284	-3278	-2202	59	WP_160846849.1	signal recognition particle-docking protein FtsY	Bacteria	Firmicutes	Bacilli	Bacillales	Pontibacillus	Pontibacillus yanchengensis
00013	WP_036816310.1	GCF_009856295.1	+	340797	341120	-2114	-1791	58	WP_160846848.1	putative DNA-binding protein	Bacteria	Firmicutes	Bacilli	Bacillales	Pontibacillus	Pontibacillus yanchengensis
00013	WP_036816310.1	GCF_009856295.1	+	339434	340783	-1777	-428	59	WP_160846847.1	signal recognition particle protein	Bacteria	Firmicutes	Bacilli	Bacillales	Pontibacillus	Pontibacillus yanchengensis
00013	WP_036816310.1	GCF_009856295.1	+	339020	339292	-286	-14	60	WP_160846846.1	30S ribosomal protein S16	Bacteria	Firmicutes	Bacilli	Bacillales	Pontibacillus	Pontibacillus yanchengensis
00013	WP_036816310.1	GCF_009856295.1	+	338778	339005	1	228	66	WP_036816310.1	KH domain-containing protein	Bacteria	Firmicutes	Bacilli	Bacillales	Pontibacillus	Pontibacillus yanchengensis
00013	WP_036816310.1	GCF_009856295.1	+	337964	338353	653	1042	57	WP_160846845.1	hypothetical protein	Bacteria	Firmicutes	Bacilli	Bacillales	Pontibacillus	Pontibacillus yanchengensis
00013	WP_036816310.1	GCF_009856295.1	+	337436	337954	1052	1570	62	WP_160846844.1	ribosome maturation factor RimM	Bacteria	Firmicutes	Bacilli	Bacillales	Pontibacillus	Pontibacillus yanchengensis
00013	WP_036816310.1	GCF_009856295.1	+	336699	337436	1570	2307	63	WP_160846843.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD	Bacteria	Firmicutes	Bacilli	Bacillales	Pontibacillus	Pontibacillus yanchengensis
00013	WP_036816310.1	GCF_009856295.1	+	336222	336566	2440	2784	64	WP_036816318.1	50S ribosomal protein L19	Bacteria	Firmicutes	Bacilli	Bacillales	Pontibacillus	Pontibacillus yanchengensis

00013	WP_053605992.1	GCF_001278705.1	+	1038457	1039446	-3160	-2171	59	WP_053602782.1	signal recognition particle-docking protein FtsY	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillus	Bacillus gobiensis
00013	WP_053605992.1	GCF_001278705.1	+	1039544	1039876	-2073	-1741	58	WP_082363738.1	putative DNA-binding protein	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillus	Bacillus gobiensis
00013	WP_053605992.1	GCF_001278705.1	+	1039891	1041231	-1726	-386	59	WP_053602783.1	signal recognition particle protein	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillus	Bacillus gobiensis
00013	WP_053605992.1	GCF_001278705.1	+	1041325	1041606	-292	-11	60	WP_053602784.1	30S ribosomal protein S16	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillus	Bacillus gobiensis
00013	WP_053605992.1	GCF_001278705.1	+	1041618	1041866	1	249	66	WP_053605992.1	KH domain-containing protein	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillus	Bacillus gobiensis
