Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Transmembrane/Signal peptide prediction	Superkingdom	Phylum	Class	Order	Genus	Species


00001	RS16_CHLTR	GCA_000008725.1	+	27492	27818	-3782	-3456	0	AAC67612.1	L31 Ribosomal Protein		Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydia	Chlamydia trachomatis D/UW-3/CX
00001	RS16_CHLTR	GCA_000008725.1	+	28006	29085	-3268	-2189	0	AAC67613.1	Peptide Chain Releasing Factor (RF-1)		Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydia	Chlamydia trachomatis D/UW-3/CX
00001	RS16_CHLTR	GCA_000008725.1	+	29069	29941	-2205	-1333	0	AAC67614.1	N6-adenine-specific DNA methylase		Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydia	Chlamydia trachomatis D/UW-3/CX
00001	RS16_CHLTR	GCA_000008725.1	+	29938	31284	-1336	10	9	AAC67615.1	Signal Recognition Particle GTPase		Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydia	Chlamydia trachomatis D/UW-3/CX
00001	RS16_CHLTR	GCA_000008725.1	+	31275	31625	1	351	11	AAC67616.1	S16 Ribosomal Protein		Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydia	Chlamydia trachomatis D/UW-3/CX
00001	RS16_CHLTR	GCA_000008725.1	+	31641	32699	367	1425	8	AAC67617.1	tRNA (guanine N-1) Methyltransferase		Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydia	Chlamydia trachomatis D/UW-3/CX
00001	RS16_CHLTR	GCA_000008725.1	+	32725	33090	1451	1816	7	AAC67618.1	L19 Ribosomal Protein		Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydia	Chlamydia trachomatis D/UW-3/CX
00001	RS16_CHLTR	GCA_000008725.1	+	33154	33807	1880	2533	6	AAC67619.1	Ribonuclease HII		Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydia	Chlamydia trachomatis D/UW-3/CX
00001	RS16_CHLTR	GCA_000008725.1	+	33798	34415	2524	3141	0	AAC67620.1	GMP Kinase		Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydia	Chlamydia trachomatis D/UW-3/CX

00002	RS16_RHOBA	GCA_000196115.1	+	6920200	6920508	-2764	-2456	0	CAD77807.1	hypothetical protein		Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica SH 1
00002	RS16_RHOBA	GCA_000196115.1	-	6919813	6920292	-2548	-2069	0	CAD77806.1	hypothetical protein		Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica SH 1
00002	RS16_RHOBA	GCA_000196115.1	+	6919361	6919729	-1985	-1617	0	CAD77805.1	hypothetical protein-signal peptide and transmembrane prediction	TM	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Rhodopirellula	Rhodopirellula baltica SH 1
