Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species


00014	PZO49560.1	GCA_003242115.1	-	4403	4873	-1600	-1130	48	PZO49552.1	hypothetical protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Phormidesmis	Phormidesmis priestleyi
00014	PZO49560.1	GCA_003242115.1	-	5044	5247	-959	-756	47	PZO49553.1	photosystem II reaction center protein PsbH	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Phormidesmis	Phormidesmis priestleyi
00014	PZO49560.1	GCA_003242115.1	+	5318	5458	-685	-545	46	PZO49554.1	photosystem II reaction center protein PsbN	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Phormidesmis	Phormidesmis priestleyi
00014	PZO49560.1	GCA_003242115.1	+	5733	5981	-270	-22	75	PZO49555.1	30S ribosomal protein S16	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Phormidesmis	Phormidesmis priestleyi
00014	PZO49560.1	GCA_003242115.1	+	6004	6468	1	465	80	PZO49560.1	hypothetical protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Phormidesmis	Phormidesmis priestleyi
00014	PZO49560.1	GCA_003242115.1	+	6538	7464	535	1461	78	PZO49556.1	phosphate starvation-inducible protein PhoH	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Phormidesmis	Phormidesmis priestleyi
00014	PZO49560.1	GCA_003242115.1	+	7574	7956	1571	1953	45	PZO49557.1	hypothetical protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Phormidesmis	Phormidesmis priestleyi

00014	PZO08615.1	GCA_003242035.1	-	419	796	-1339	-962	48	PZO08611.1	twin-arginine translocase TatA/TatE family subunit	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Leptolyngbya	Leptolyngbya foveolarum
00014	PZO08615.1	GCA_003242035.1	-	937	1140	-821	-618	47	PZO08612.1	photosystem II reaction center protein PsbH	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Leptolyngbya	Leptolyngbya foveolarum
00014	PZO08615.1	GCA_003242035.1	+	1213	1353	-545	-405	46	PZO08613.1	photosystem II reaction center protein PsbN	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Leptolyngbya	Leptolyngbya foveolarum
00014	PZO08615.1	GCA_003242035.1	+	1498	1746	-260	-12	75	PZO08614.1	30S ribosomal protein S16	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Leptolyngbya	Leptolyngbya foveolarum
00014	PZO08615.1	GCA_003242035.1	+	1759	2208	1	450	80	PZO08615.1	RNA-binding protein	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Leptolyngbya	Leptolyngbya foveolarum
00014	PZO08615.1	GCA_003242035.1	+	2228	3181	470	1423	78	PZO08616.1	phosphate starvation-inducible protein PhoH	Bacteria	Cyanobacteria	Cyanobacteria_na	Synechococcales	Leptolyngbya	Leptolyngbya foveolarum
