
 ### Family: 1 -> DNA-binding protein

	 KPJ79159.1	DNA-binding protein
	 GAK55150.1	bacterial nucleoid protein Hbs

 ### Family: 2 -> bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK

	 WP_156789794.1	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK
	 OQB15762.1	putative nicotinate-nucleotide adenylyltransferase

 ### Family: 3 -> nicotinate (nicotinamide) nucleotide adenylyltransferase

	 RIK01241.1	nicotinate (nicotinamide) nucleotide adenylyltransferase
	 OQB15763.1	Nicotinate-nucleotide adenylyltransferase

 ### Family: 4 -> ATP-binding protein

	 WP_084057337.1	ATP-binding protein
	 RJR47608.1	ATP-dependent protease
	 WP_093393934.1	ATP-binding protein

 ### Family: 5 -> MTH1187 family thiamine-binding protein

	 WP_084057339.1	MTH1187 family thiamine-binding protein
	 WP_093393931.1	MTH1187 family thiamine-binding protein

 ### Family: 6 -> sugar phosphate isomerase/epimerase

	 WP_170920439.1	sugar phosphate isomerase/epimerase
	 WP_177193528.1	sugar phosphate isomerase/epimerase

 ### Family: 7 -> hypothetical protein

	 KAA0243132.1	hypothetical protein
	 KAA0243131.1	hypothetical protein

 ### Family: 8 -> protease HtpX

	 OGS45704.1	protease HtpX
	 OQA89715.1	hypothetical protein

 ### Family: 9 -> hypothetical protein

	 TSA16899.1	hypothetical protein
	 KAF0152631.1	hypothetical protein

 ### Family: 10 -> ATP synthase F1 subunit gamma

	 TSA16906.1	ATP synthase F1 subunit gamma
	 KAF0152638.1	F0F1 ATP synthase subunit gamma

 ### Family: 11 -> F0F1 ATP synthase subunit alpha

	 TSA16907.1	F0F1 ATP synthase subunit alpha
	 KAF0152639.1	F0F1 ATP synthase subunit alpha

 ### Family: 12 -> histidine--tRNA ligase

	 PWL79279.1	histidine--tRNA ligase
	 CDE39191.1	histidine--tRNA ligase 1

 ### Family: 13 -> chromosome partition protein Smc

	 CDD67293.1	chromosome partition protein Smc
